chart_id,elo_diff,msd_overrated,skillset,chart_name
367792,1656.48,1.3398,technical,"('Orange Blossom Train Tracks', ""Vela's Velato"")"
367791,1670.41,1.3311,technical,"('Orange Blossom Train Tracks', ""Vela's Velato"")"
327862,1066.67,1.1696,technical,"('Tren al Sur', ""Vela's Velato v2 - Escape From Reality"")"
327852,1402.03,1.1639,technical,"('Misery', ""Vela's Velato v2 - Escape From Reality"")"
342388,1471.74,1.1604,technical,"('Nageki no Ki', 'April Singles')"
339014,973.9,1.1595,technical,"('Not Holding Back', 'Polarin Pack 4')"
357994,1395.65,1.1581,technical,"('Nadia', 'Demure Dumps')"
324317,1469.86,1.1481,technical,"('GET HYPER (Radio Edit)', 'Volvo Gaming Pack 2')"
354619,1718.19,1.1467,technical,"('[ROUND 1] To The Hellfire', 'Valedumps 4')"
354670,1285.55,1.1467,technical,"('Behind Bars', 'Valedumps 4')"
354626,1423.41,1.1464,technical,"('Sarigiwa no Romantics', 'Valedumps 4')"
261425,1348.12,1.1434,technical,"('Minimalist Sengen', 'D E N P A C K  D E F E N S E  F O R C E  2')"
350637,1447.21,1.1421,technical,"('Parallel Universe Shifter', 'Helvetica Standard')"
354733,1258.21,1.1398,technical,"('first death', 'Valedumps 4')"
354721,942.04,1.1389,technical,"('You & I', 'Valedumps 4')"
339324,1543.06,1.1388,technical,"('Apetenodytes Disco Type.4.0', 'Grape Cola 3')"
354745,1168.63,1.1385,technical,"('SWEATY', 'Valedumps 4')"
315273,1597.86,1.1376,technical,"('Holdin On (Skrillex and Nero Remix)', 'TESTOPACK')"
354622,1458.09,1.1355,technical,"('chaosmaid', 'Valedumps 4')"
339350,1501.7,1.1325,technical,"('雲散霧消', 'Grape Cola 3')"
339911,1173.16,1.1323,technical,"('Circles', 'Cucktech')"
255612,1437.76,1.1309,technical,"('Dark Chest of Wonders', 'cesspool of ribal 3')"
285417,1377.62,1.1302,technical,"('Assassin', 'Minty Fresh Pack 3')"
327815,1207.74,1.1299,technical,"('Sunshine.swf', ""Vela's Velato v3 - Take Back the Falls"")"
