,overall,stream,jumpstream,handstream,chordjacks,technical
Saragi,2552,2720,2469,2441,2467,2102
puyihari,2474,2641,2351,2430,2305,2135
AnMaO,2465,2545,2481,2273,1972,2371
maya,2372,2482,2267,2346,2174,2288
YumaOs,2349,2386,2347,2315,2001,1948
jja,2308,2334,2316,2275,2073,2106
gongorirel,2261,2224,2286,2274,1551,1722
snoverpk,2234,2242,2214,2114,2019,2248
clerpy,2230,2375,2152,2164,2014,2076
marilyy,2230,2362,2138,2111,1573,2188
almond,2220,2406,2059,2181,1895,2074
Monheim,2214,2014,2116,1978,2414,2113
Devplayzz,2200,2208,2169,1967,1564,2223
selrrrrr,2199,2054,2333,2210,2020,1959
SOYNEBUV2,2199,2245,2195,2156,1967,1976
SillyFangirl,2181,2080,2254,2114,2105,2176
Bistulex,2174,2277,2141,2103,1875,1982
Abyss,2164,2118,2231,2143,1886,1787
skadi,2152,2144,2193,2095,2120,1941
Voezux,2152,2310,2037,2109,1879,1841
paocompaoepaa,2146,2365,1748,2122,1745,1952
Shadow,2143,2219,2053,1925,1871,2155
waterquality,2137,2113,2224,2074,1825,1934
ATTANG,2126,1866,2142,2100,2135,1912
na2304,2102,2134,1650,1876,2202,1971
Kuruche,2099,2228,2031,1911,1759,2039
Noraa,2092,2043,2160,2008,1948,2072
wLeyo,2090,2092,2148,2029,1958,1964
Meatloaf,2079,2182,1990,2065,1500,1951
TristanJacob9,2068,2044,1997,1999,2074,2086
malicieux,2068,2047,2112,2044,1838,1884
Trescendence,2064,2038,2121,2011,2033,2028
DanTDM,2061,2111,1938,1910,1909,2133
muelsyse,2059,2039,2119,2019,1945,1919
Kyuui,2058,1975,2055,1654,2053,2066
vibong,2055,2109,1970,1824,2086,1867
Thiago,2050,2036,2073,2041,1897,1908
Nico777playz,2049,2060,1980,1863,2073,2014
Kazye,2048,2027,2089,2027,1798,1944
sim0,2047,2092,2058,1992,1847,1988
shuri,2040,2206,1883,1844,1599,2031
23Marzo,2038,2135,2029,1951,1619,1875
Matthia,2036,2078,2068,1963,1696,1952
vaydex,2029,1799,2033,1802,2251,1570
DeltaEquals84,2021,2233,1855,1786,1526,1974
Avali,2020,2104,1939,1989,1774,1966
googlekub455,2007,2240,1871,1643,1607,1909
