,overall,stream,jumpstream,handstream,chordjacks,technical
Saragi,2177,2216,2135,2179,2095,1932
maya,2131,2155,2107,2129,1935,1974
AnMaO,2126,2211,2071,2008,1775,2095
jja,2077,2008,2148,2075,1896,1783
clerpy,2059,2121,2043,1950,1936,2015
puyihari,2012,2193,1946,1896,1891,1894
Devplayzz,1973,1932,2016,1678,1512,1970
muelsyse,1962,1739,2014,1946,1869,1927
SillyFangirl,1936,1760,1992,1909,1905,1803
Monheim,1927,1691,1852,1801,2124,1805
theman234tonk,1900,1887,1862,1831,1571,1951
waterquality,1899,1819,2003,1874,1681,1804
TristanJacob9,1898,1896,1664,1812,1952,1846
skadi,1896,1791,1879,1932,1876,1654
vaydex,1878,1649,1856,1609,2128,1495
Noraa,1871,1827,1995,1711,1729,1790
snoverpk,1867,1899,1848,1852,1595,1813
YumaOs,1862,1744,1790,1887,1910,1539
yumaTV,1856,1887,1909,1589,1772,1670
Shadow,1855,1910,1832,1740,1612,1823
paocompaoepaa,1842,2030,1564,1853,1435,1643
wLeyo,1838,1793,1893,1829,1716,1706
Bistulex,1830,1804,1550,1956,1621,1730
DanTDM,1825,1986,1679,1652,1626,1811
Meatloaf,1822,1886,1791,1789,1476,1595
selrrrrr,1811,1637,1992,1632,1804,1602
Kyuui,1809,1711,1840,1619,1823,1763
Guilherme,1799,1760,1707,1719,1797,1840
Thiago,1787,1689,1809,1820,1732,1644
Delusion,1782,1689,1621,1899,1546,1759
sim0,1778,1627,1817,1785,1670,1732
lifillled,1773,1782,1786,1750,1540,1566
Trescendence,1771,1602,1853,1625,1784,1677
Nico777playz,1770,1784,1791,1574,1736,1693
na2304,1766,1674,1578,1601,1904,1719
stracciatella,1751,1783,1744,1726,1694,1715
23Marzo,1750,1667,1903,0,1536,1679
SOYNEBUV2,1742,1734,1672,1820,1550,1451
Abyss,1742,1615,1893,1652,1680,1617
zoobin4,1739,1769,1607,1532,1513,1840
almond,1736,1889,1553,1587,1631,1689
Vulpsi,1732,1550,1659,1565,1843,1696
gongorirel,1731,1511,1815,1866,1493,1467
OmegaFade,1730,1819,1700,1672,1440,1609
Tanmanguy7,1729,1785,1729,1578,1672,1578
Dystire,1726,1882,1582,1643,1499,1655
marilyy,1726,1650,1804,1574,1456,1724
LeMarcinho,1726,1729,1677,1753,1580,1696
Voezux,1724,1734,1612,1775,1662,1514
malicieux,1721,1645,1756,1709,1699,1632
thatguyalpha,1711,1541,1626,1732,1774,1542
Methanol,1705,1578,1717,1762,1617,1637
DeltaEquals84,1704,1969,1574,1570,1478,1528
Vanstav,1697,1899,1533,1531,1537,1655
breadles,1694,1737,1511,1591,1655,1691
p6yb,1691,1609,1883,1520,1582,1510
Yanagihara,1682,1536,1620,1675,1751,1616
yujigkt,1681,1432,1871,1458,1598,1573
Cartier,1679,1681,1613,1574,1532,1743
Artloldxe,1674,1686,1640,1680,1524,1657
COmp,1674,1660,1613,1745,1617,1486
Luminary,1672,1486,1525,1495,1881,1609
VINYL,1670,1904,1551,1515,0,1555
bunny,1669,1719,1614,1636,1583,1651
flasco,1668,1578,1497,1490,1930,1413
clam,1664,1626,1549,1620,1583,1747
PiliFangirl,1663,1681,1680,1604,1563,1627
Takumi0728,1662,1518,1514,1649,1819,1503
xz1z1z1z1z,1661,1586,1578,1704,1517,1692
hsod,1661,1555,1676,1575,1732,1505
Wateh,1659,1592,1609,1723,1505,1646
XIAOXIAOMAO,1659,1416,1598,1722,1656,1582
yzmengx,1657,1460,1509,1586,1877,1402
barelyAWAKE,1654,1647,1627,1550,1428,1689
alt,1654,1781,1624,1394,1556,1528
shuri,1652,1748,1554,1544,1383,1655
Doper,1648,1721,1564,1611,1418,1613
Maykol,1642,1477,1521,1688,1660,1578
cow,1634,1387,1387,1340,1932,1581
Ramchong,1633,1402,1559,1738,1601,1496
Vanessa,1630,1698,1604,1554,1413,1588
CrzMiyako,1630,1588,1770,1473,1532,1407
zaalseen,1628,1555,1663,1512,1355,1667
akimbo404,1628,1637,1550,1544,1595,1653
SloW,1628,1665,1450,1639,1535,1581
kfc9021,1628,1456,1661,1572,1461,1651
touhouyuri,1627,1537,1508,1446,1730,1614
imjustawheel,1626,1629,1539,1579,1508,1668
leviano33,1625,1586,1695,1591,1366,1589
U1wknUzeU6,1624,1512,1601,1759,1446,1505
Kuruche,1619,1678,1568,1448,1510,1612
googlekub455,1619,1675,1546,0,1528,1635
Matthia,1616,1629,1613,1600,1524,1607
Apr4th,1615,1619,1414,1582,1645,1553
monkeonke,1615,1637,1544,1664,1410,1465
YorfANGirl,1612,1470,1625,1531,1679,1320
XeOF4,1610,0,0,1482,1883,1465
cytakn,1606,1665,1545,1407,1547,1606
frawog,1605,1588,1623,1543,1603,1366
Kazye,1604,1553,1601,1641,1485,1571
Avali,1604,1634,1577,1454,1505,1601
Minwoo,1603,1696,1530,1486,1468,1584
GDNoob25xd,1603,1508,1373,1507,1794,1376
monkey,1603,1518,1640,1320,1615,1553
Nixo,1602,1576,1554,1675,1529,1517
ry16,1602,1624,1411,1362,1613,1567
Devil124,1597,1528,1658,1584,1550,0
Earther06,1597,1598,1630,1407,1421,1564
XxNewson1234xX,1594,1564,1585,1510,1460,1634
Yukataa,1594,1381,1384,1739,1531,1511
Replica,1593,1438,1612,1436,1547,1620
